ScanName,Object_index,Overlap_count,GT_label,absolute index
scene0000_00,0,0,9,0
scene0000_00,1,0,9,1
scene0000_00,2,0,7,2
scene0000_00,3,1,3,8
scene0000_00,4,0,39,12
scene0000_00,5,0,39,13
scene0000_00,6,0,39,14
scene0000_00,7,0,7,34
scene0000_00,8,0,7,35
scene0000_00,9,0,3,38
scene0000_00,10,1,3,39
scene0000_00,11,0,3,40
scene0000_00,12,0,3,41
scene0000_00,13,0,3,42
scene0000_00,14,0,3,43
scene0000_00,15,0,8,54
scene0000_00,16,1,8,63
scene0000_00,17,0,8,65
scene0000_01,0,0,8,7
scene0000_01,1,0,8,15
scene0000_01,2,0,39,18
scene0000_01,3,0,9,19
scene0000_01,4,1,8,20
scene0000_01,5,1,3,37
scene0000_01,6,0,39,47
scene0000_01,7,0,39,48
scene0000_01,8,0,39,49
scene0000_01,9,0,9,55
scene0000_01,10,1,39,58
scene0000_01,11,1,3,59
scene0000_01,12,0,3,60
scene0000_01,13,0,3,61
scene0000_01,14,1,3,62
scene0000_01,15,1,3,63
scene0000_01,16,0,3,64
scene0000_01,17,0,3,65
scene0000_01,18,0,3,66
scene0000_02,0,0,3,3
scene0000_02,1,0,3,4
scene0000_02,2,0,9,10
scene0000_02,3,0,9,11
scene0000_02,4,0,39,13
scene0000_02,5,1,39,14
scene0000_02,6,0,5,17
scene0000_02,7,1,5,19
scene0000_02,8,0,3,23
scene0000_02,9,1,3,24
scene0000_02,10,0,3,25
scene0000_02,11,0,3,26
scene0000_02,12,0,39,30
scene0000_02,13,1,39,31
scene0000_02,14,0,7,39
scene0000_02,15,0,8,41
scene0000_02,16,0,39,49
scene0000_02,17,0,8,58
scene0000_02,18,0,8,59
scene0000_02,19,0,39,68
scene0001_00,0,1,7,3
scene0001_00,1,1,7,4
scene0001_00,2,1,7,5
scene0001_00,3,0,7,6
scene0001_00,4,0,7,7
scene0001_00,5,2,5,10
scene0001_00,6,1,5,11
scene0001_00,7,3,5,12
scene0001_00,8,2,5,13
scene0001_00,9,0,9,17
scene0001_00,10,1,8,19
scene0001_00,11,0,8,20
scene0001_01,0,2,7,5
scene0001_01,1,1,7,6
scene0001_01,2,3,7,7
scene0001_01,3,2,7,8
scene0001_01,4,2,5,9
scene0001_01,5,1,9,11
scene0001_01,6,1,8,13
scene0001_01,7,0,9,14
scene0001_01,8,2,5,17
scene0001_01,9,3,5,20
scene0001_01,10,3,5,21
scene0002_00,0,1,8,5
scene0002_00,1,0,8,7
scene0002_00,2,0,8,8
scene0002_00,3,0,39,10
scene0002_00,4,0,8,11
scene0002_00,5,1,8,12
scene0002_00,6,1,8,13
scene0002_00,7,0,8,14
scene0002_00,8,0,39,17
scene0002_00,9,1,5,18
scene0002_00,10,1,5,19
scene0002_00,11,1,5,20
scene0002_00,12,0,39,23
scene0002_00,13,0,39,24
scene0002_00,14,0,3,31
scene0002_00,15,0,3,33
scene0002_00,16,0,3,34
scene0002_00,17,1,3,35
scene0002_00,18,1,9,37
scene0002_00,19,0,9,38
scene0002_00,20,1,39,46
scene0002_00,21,0,39,47
scene0002_00,22,0,39,48
scene0002_00,23,0,7,49
scene0002_00,24,0,7,50
scene0002_01,0,0,39,1
scene0002_01,1,0,39,2
scene0002_01,2,0,5,5
scene0002_01,3,0,8,20
scene0002_01,4,0,39,28
scene0002_01,5,1,39,30
scene0002_01,6,1,5,38
scene0002_01,7,2,5,39
scene0002_01,8,2,3,42
scene0002_01,9,1,3,43
scene0002_01,10,0,3,44
scene0002_01,11,0,8,46
scene0002_01,12,0,8,47
scene0002_01,13,0,8,48
scene0002_01,14,0,8,49
scene0002_01,15,1,9,50
scene0002_01,16,0,9,51
scene0002_01,17,0,39,52
scene0002_01,18,0,39,53
scene0002_01,19,1,7,56
scene0002_01,20,0,7,58
scene0002_01,21,0,7,59
scene0003_00,0,1,3,2
scene0003_00,1,1,3,3
scene0003_00,2,1,3,4
scene0003_00,3,1,3,5
scene0003_00,4,2,39,7
scene0003_00,5,0,39,9
scene0003_00,6,2,8,12
scene0003_00,7,0,8,20
