ScanName,Object_index,Overlap_count,GT_label,absolute index
scene0000_00,0,0,9,0
scene0000_00,1,0,9,1
scene0000_00,2,0,7,2
scene0000_00,3,5,12,3
scene0000_00,4,0,16,5
scene0000_00,5,0,16,6
scene0000_00,6,0,14,7
scene0000_00,7,0,3,8
scene0000_00,8,0,34,10
scene0000_00,9,5,39,12
scene0000_00,10,0,39,13
scene0000_00,11,0,39,14
scene0000_00,12,0,25,15
scene0000_00,13,0,18,16
scene0000_00,14,5,6,32
scene0000_00,15,0,24,33
scene0000_00,16,5,7,34
scene0000_00,17,5,7,35
scene0000_00,18,5,33,36
scene0000_00,19,0,4,37
scene0000_00,20,0,3,38
scene0000_00,21,0,3,39
scene0000_00,22,0,3,40
scene0000_00,23,0,3,41
scene0000_00,24,0,3,42
scene0000_00,25,5,3,43
scene0000_00,26,0,32,49
scene0000_00,27,0,32,50
scene0000_00,28,0,8,54
scene0000_00,29,0,15,56
scene0000_00,30,0,8,63
scene0000_00,31,0,19,64
scene0000_00,32,5,8,65
scene0000_01,0,0,27,5
scene0000_01,1,5,33,6
scene0000_01,2,0,8,7
scene0000_01,3,0,8,15
scene0000_01,4,0,19,17
scene0000_01,5,0,39,18
scene0000_01,6,0,9,19
scene0000_01,7,5,8,20
scene0000_01,8,5,6,26
scene0000_01,9,0,16,34
scene0000_01,10,0,16,35
scene0000_01,11,0,14,36
scene0000_01,12,0,3,37
scene0000_01,13,0,24,45
scene0000_01,14,0,18,46
scene0000_01,15,5,39,47
scene0000_01,16,0,39,48
scene0000_01,17,0,39,49
scene0000_01,18,0,25,50
scene0000_01,19,0,4,53
scene0000_01,20,0,9,55
scene0000_01,21,0,12,56
scene0000_01,22,0,12,57
scene0000_01,23,0,39,58
scene0000_01,24,0,3,59
scene0000_01,25,0,3,60
scene0000_01,26,0,3,61
scene0000_01,27,0,3,62
scene0000_01,28,0,3,63
scene0000_01,29,0,3,64
scene0000_01,30,0,3,65
scene0000_01,31,0,3,66
scene0000_01,32,0,32,69
scene0000_01,33,5,32,70
scene0000_01,34,0,34,71
scene0000_02,0,0,3,3
scene0000_02,1,0,3,4
scene0000_02,2,0,24,5
scene0000_02,3,0,14,7
scene0000_02,4,5,16,8
scene0000_02,5,0,16,9
scene0000_02,6,0,9,10
scene0000_02,7,0,9,11
scene0000_02,8,10,4,12
scene0000_02,9,0,39,13
scene0000_02,10,0,39,14
scene0000_02,11,0,5,17
scene0000_02,12,0,5,19
scene0000_02,13,0,32,20
scene0000_02,14,0,32,21
scene0000_02,15,0,3,23
scene0000_02,16,0,3,24
scene0000_02,17,0,3,25
scene0000_02,18,5,3,26
scene0000_02,19,0,25,28
scene0000_02,20,0,39,30
scene0000_02,21,0,39,31
scene0000_02,22,5,6,32
scene0000_02,23,0,34,36
scene0000_02,24,0,7,39
scene0000_02,25,5,33,40
scene0000_02,26,0,8,41
scene0000_02,27,0,27,42
scene0000_02,28,0,39,49
scene0000_02,29,0,18,51
scene0000_02,30,0,8,58
scene0000_02,31,5,8,59
scene0000_02,32,0,39,68
scene0000_02,33,0,19,69
scene0001_00,0,0,6,0
scene0001_00,1,5,6,1
scene0001_00,2,10,7,3
scene0001_00,3,0,7,4
scene0001_00,4,5,7,5
scene0001_00,5,0,7,6
scene0001_00,6,0,7,7
scene0001_00,7,0,6,8
scene0001_00,8,5,6,9
scene0001_00,9,5,5,10
scene0001_00,10,10,5,11
scene0001_00,11,10,5,12
scene0001_00,12,10,5,13
scene0001_00,13,0,9,17
scene0001_00,14,0,11,18
scene0001_00,15,0,8,19
scene0001_00,16,0,8,20
scene0001_01,0,5,6,1
scene0001_01,1,10,6,2
scene0001_01,2,10,6,3
scene0001_01,3,10,7,5
scene0001_01,4,0,7,6
scene0001_01,5,0,7,7
scene0001_01,6,5,7,8
scene0001_01,7,10,5,9
scene0001_01,8,5,9,11
scene0001_01,9,0,8,13
scene0001_01,10,0,9,14
scene0001_01,11,10,5,17
scene0001_01,12,10,5,20
scene0001_01,13,15,5,21
scene0001_01,14,5,6,22
scene0002_00,0,0,8,5
